"mt_id","cluster"
"3030_21","1"
"3030_24","1"
"3030_25","1"
"3030_26","1"
"3030_27","1"
"3030_31","1"
"3030_32","1"
"3030_36","1"
"3030_37","1"
"3030_39","1"
"3030_41","1"
"3030_46","1"
"3030_47","1"
"3030_49","1"
"3030_52","2"
"3030_53","2"
"3030_55","1"
"3030_58","1"
"3030_60","1"
"3030_64","1"
"3030_66","1"
"3030_68","2"
"3030_69","2"
"3030_7","1"
"3030_71","2"
"3030_89","1"
"3030_9","1"
"3030_99","2"
"3032_0","2"
"3032_1","2"
"3032_100","1"
"3032_101","2"
"3032_106","2"
"3032_107","2"
"3032_108","2"
"3032_109","2"
"3032_111","1"
"3032_114","2"
"3032_118","2"
"3032_13","2"
"3032_14","2"
"3032_17","2"
"3032_2","2"
"3032_22","2"
"3032_23","2"
"3032_27","2"
"3032_29","2"
"3032_30","2"
"3032_31","2"
"3032_34","1"
"3032_35","2"
"3032_38","2"
"3032_39","2"
"3032_4","2"
"3032_40","2"
"3032_42","1"
"3032_44","2"
"3032_45","2"
"3032_49","2"
"3032_5","2"
"3032_50","2"
"3032_52","2"
"3032_54","2"
"3032_55","2"
"3032_58","2"
"3032_6","1"
"3032_60","2"
"3032_61","1"
"3032_62","2"
"3032_65","2"
"3032_73","2"
"3032_78","2"
"3032_79","2"
"3032_81","2"
"3032_84","1"
"3032_85","2"
"3032_88","2"
"3032_93","2"
"3032_95","1"
"3032_96","1"
"3032_99","2"
"3054_0","2"
"3054_101","2"
"3054_102","2"
"3054_104","2"
"3054_105","2"
"3054_111","2"
"3054_112","2"
"3054_113","2"
"3054_114","2"
"3054_115","3"
"3054_18","2"
"3054_22","2"
"3054_25","2"
"3054_26","2"
"3054_27","2"
"3054_30","3"
"3054_33","2"
"3054_35","2"
"3054_39","2"
"3054_41","3"
"3054_44","2"
"3054_45","2"
"3054_47","2"
"3054_49","2"
"3054_52","2"
"3054_54","2"
"3054_58","2"
"3054_59","2"
"3054_6","1"
"3054_61","1"
"3054_67","2"
"3054_69","3"
"3054_70","2"
"3054_71","2"
"3054_80","2"
"3054_81","2"
"3054_89","2"
"3054_9","1"
"3054_91","2"
"3054_94","2"
"3058_0","3"
"3058_1","2"
"3058_10","3"
"3058_100","2"
"3058_101","3"
"3058_102","3"
"3058_104","2"
"3058_105","3"
"3058_109","3"
"3058_11","2"
"3058_111","2"
"3058_113","2"
"3058_116","2"
"3058_117","2"
"3058_12","2"
"3058_15","1"
"3058_16","2"
"3058_18","3"
"3058_19","2"
"3058_20","3"
"3058_24","1"
"3058_27","3"
"3058_29","3"
"3058_3","3"
"3058_30","3"
"3058_31","2"
"3058_36","2"
"3058_40","2"
"3058_41","3"
"3058_42","2"
"3058_45","3"
"3058_49","2"
"3058_5","2"
"3058_53","2"
"3058_54","2"
"3058_55","3"
"3058_56","2"
"3058_58","1"
"3058_60","3"
"3058_62","3"
"3058_66","3"
"3058_68","3"
"3058_69","1"
"3058_70","2"
"3058_73","3"
"3058_75","2"
"3058_78","3"
"3058_79","2"
"3058_84","3"
"3058_88","3"
"3058_92","2"
"3058_94","3"
"3061_10","1"
"3061_100","1"
"3061_101","2"
"3061_102","2"
"3061_109","2"
"3061_111","2"
"3061_113","2"
"3061_116","1"
"3061_117","1"
"3061_118","2"
"3061_12","3"
"3061_15","3"
"3061_17","3"
"3061_23","2"
"3061_24","1"
"3061_25","1"
"3061_26","1"
"3061_29","2"
"3061_3","3"
"3061_35","1"
"3061_41","2"
"3061_42","2"
"3061_44","1"
"3061_46","2"
"3061_47","2"
"3061_49","2"
"3061_5","3"
"3061_55","1"
"3061_56","1"
"3061_57","3"
"3061_59","1"
"3061_6","3"
"3061_64","2"
"3061_65","1"
"3061_67","2"
"3061_72","2"
"3061_73","2"
"3061_75","2"
"3061_81","1"
"3061_83","2"
"3061_84","2"
"3061_85","3"
"3061_91","1"
"3061_93","1"
"3061_97","2"
"3061_98","3"
"3089_1","1"
"3089_100","1"
"3089_103","2"
"3089_104","2"
"3089_105","3"
"3089_107","2"
"3089_11","1"
"3089_111","1"
"3089_112","2"
"3089_114","2"
"3089_116","2"
"3089_118","1"
"3089_14","2"
"3089_15","1"
"3089_2","2"
"3089_20","2"
"3089_22","1"
"3089_23","2"
"3089_25","1"
"3089_27","1"
"3089_28","2"
"3089_29","1"
"3089_30","1"
"3089_34","2"
"3089_36","1"
"3089_38","2"
"3089_39","2"
"3089_40","1"
"3089_43","2"
"3089_47","2"
"3089_49","1"
"3089_5","2"
"3089_50","1"
"3089_52","1"
"3089_54","1"
