"cluster","DP","group","submission_id","item_id","x_startDP","x_endDP","x_DPDiff"
"3","indeed","unreliable",3023,59,0.772920696324952,0.954738948976971,0.181818252652019
"3","indeed","unreliable",3112,7,1,1,0
"3","indeed","unreliable",3112,8,1,1,0
"3","indeed","unreliable",3112,10,1,1,0
"3","indeed","unreliable",3112,17,1,1,0
"3","indeed","unreliable",3112,20,1,1,0
"3","indeed","unreliable",3112,26,1,1,0
"3","indeed","unreliable",3112,33,1,1,0
"3","indeed","unreliable",3112,39,1,1,0
"3","indeed","unreliable",3112,40,1,1,0
"3","indeed","unreliable",3112,42,1,1,0
"3","indeed","unreliable",3112,47,1,1,0
"3","indeed","unreliable",3112,59,1,1,0
"3","indeed","unreliable",3115,1,1,1,0
"3","indeed","unreliable",3115,2,1,1,0
"3","indeed","unreliable",3115,3,1,1,0
"3","indeed","unreliable",3115,4,0.981732283464567,1,0.018267716535433
"3","indeed","unreliable",3115,8,1,1,0
"3","indeed","unreliable",3115,9,1,1,0
"3","indeed","unreliable",3115,13,0.908110936682365,1,0.0918890633176348
"3","indeed","unreliable",3115,14,1.01188707280832,1,-0.0118870728083209
"3","indeed","unreliable",3115,16,1,1,0
"3","indeed","unreliable",3115,19,0.945535714285714,1,0.0544642857142857
"3","indeed","unreliable",3115,20,1,1,0
"3","indeed","unreliable",3115,21,0.193238095238095,1,0.806761904761905
"3","indeed","unreliable",3115,24,0.957476340694006,1,0.0425236593059937
"3","indeed","unreliable",3115,25,1,1,0
"3","indeed","unreliable",3115,27,1,1,0
"3","indeed","unreliable",3115,30,1,1,0
"3","indeed","unreliable",3115,34,1,1,0
