"DP","group","submission_id","item_id","block","trialNumber","xpos_mean","xpos_side","xpos_side_num"
"actually","reliable",3061,107,3,35,0,"competitor",0
"actually","reliable",3061,108,3,26,0,"competitor",0
"actually","reliable",3061,111,10,109,-0.450993973618612,"competitor",0
"actually","reliable",3061,114,8,93,0.000290355294683242,"target",1
"actually","reliable",3061,116,8,83,0.0325094170419459,"target",1
"actually","reliable",3061,117,6,65,0,"competitor",0
"actually","reliable",3061,120,4,44,0,"competitor",0
"actually","reliable",3061,123,3,24,0,"competitor",0
"actually","reliable",3061,124,7,73,0.0507313131132951,"target",1
"actually","reliable",3061,127,7,75,0,"competitor",0
"actually","reliable",3061,128,9,98,0.307731673916247,"target",1
"actually","reliable",3061,133,1,6,0.739076193893352,"target",1
"actually","reliable",3061,136,2,23,-0.580254953603394,"competitor",0
"actually","reliable",3061,138,5,55,0,"competitor",0
"actually","reliable",3061,147,10,116,0.0210137419207929,"target",1
"actually","reliable",3061,148,6,59,0,"competitor",0
"actually","reliable",3061,149,8,91,0,"competitor",0
"actually","reliable",3061,151,10,117,0,"competitor",0
"actually","reliable",3061,158,9,100,0,"competitor",0
"actually","reliable",3061,160,5,56,0,"competitor",0
"actually","reliable",3089,102,3,30,0.000158892274295369,"target",1
"actually","reliable",3089,104,6,61,0,"competitor",0
"actually","reliable",3089,106,2,14,-0.000136737394637985,"competitor",0
"actually","reliable",3089,107,10,111,0.000159714341829609,"target",1
"actually","reliable",3089,110,9,100,0.000149836830123166,"target",1
"actually","reliable",3089,111,6,69,0,"competitor",0
"actually","reliable",3089,117,9,103,-0.000157775205229029,"competitor",0
"actually","reliable",3089,118,6,67,0,"competitor",0
"actually","reliable",3089,124,5,49,0,"competitor",0
"actually","reliable",3089,126,7,77,0.000509689968734583,"target",1
"actually","reliable",3089,128,1,1,0.0064011028168146,"target",1
"actually","reliable",3089,129,5,52,0,"competitor",0
"actually","reliable",3089,132,4,40,0,"competitor",0
"actually","reliable",3089,134,8,84,0,"competitor",0
"actually","reliable",3089,138,5,54,0,"competitor",0
"actually","reliable",3089,139,7,75,0.000203839421788335,"target",1
"actually","reliable",3089,140,3,25,0,"competitor",0
"actually","reliable",3089,141,8,88,-0.000130901406536172,"competitor",0
"actually","reliable",3089,142,10,118,0,"competitor",0
"actually","reliable",3089,144,9,95,0,"competitor",0
"actually","reliable",3089,145,3,27,0,"competitor",0
"actually","reliable",3089,147,8,87,0,"competitor",0
"actually","reliable",3089,149,7,72,0,"competitor",0
"actually","reliable",3089,151,2,22,0,"competitor",0
"actually","reliable",3089,153,1,2,0,"competitor",0
"actually","reliable",3089,155,4,36,0,"competitor",0
"actually","reliable",3089,157,1,11,-0.00314177195364368,"competitor",0
"actually","reliable",3089,160,10,114,0.0145609887839476,"target",1
"actually","reliable",3096,102,3,30,0.153725056934101,"target",1
"actually","reliable",3096,104,6,61,-0.365581287207416,"competitor",0
"actually","reliable",3096,106,2,14,-0.388046048967019,"competitor",0
"actually","reliable",3096,107,10,111,-0.0354834249796364,"competitor",0
"actually","reliable",3096,110,9,100,-0.495362267647706,"competitor",0
"actually","reliable",3096,111,6,69,0.0669666539248388,"target",1
"actually","reliable",3096,124,5,49,0.340818150420024,"target",1
"actually","reliable",3096,129,5,52,0,"competitor",0
"actually","reliable",3096,132,4,40,-0.0563778416495369,"competitor",0
"actually","reliable",3096,138,5,54,-0.261092412878127,"competitor",0
"actually","reliable",3096,139,7,75,0,"competitor",0
"actually","reliable",3096,140,3,25,-0.0719534034936512,"competitor",0
"actually","reliable",3096,141,8,88,0,"competitor",0
"actually","reliable",3096,142,10,118,0.0194323803837078,"target",1
"actually","reliable",3096,144,9,95,0,"competitor",0
"actually","reliable",3096,145,3,27,-0.0249310561777822,"competitor",0
"actually","reliable",3096,147,8,87,-0.0953914123689482,"competitor",0
"actually","reliable",3096,149,7,72,-0.0116581099551307,"competitor",0
"actually","reliable",3096,151,2,22,0.0116114205243166,"target",1
"actually","reliable",3096,155,4,36,0,"competitor",0
"actually","reliable",3096,160,10,114,-0.0571632621117888,"competitor",0
"actually","reliable",3110,102,7,76,-0.0342806565234186,"competitor",0
"actually","reliable",3110,103,3,30,-0.00633221285301376,"competitor",0
"actually","reliable",3110,105,1,10,-0.0242740055660747,"competitor",0
"actually","reliable",3110,106,5,52,0.0233878394875435,"target",1
"actually","reliable",3110,108,6,70,-0.148387430821855,"competitor",0
"actually","reliable",3110,112,5,58,0.0370901491193215,"target",1
"actually","reliable",3110,113,4,35,-0.0432673180214041,"competitor",0
"actually","reliable",3110,116,8,92,-0.00266958187297671,"competitor",0
"actually","reliable",3110,121,6,64,-0.209650816984363,"competitor",0
"actually","reliable",3110,122,2,16,0.0668098825790948,"target",1
"actually","reliable",3110,123,8,90,0.128335049001658,"target",1
"actually","reliable",3110,126,5,57,-0.274383660967077,"competitor",0
"actually","reliable",3110,128,2,18,0.0020646773873143,"target",1
"actually","reliable",3110,129,7,74,0.0739191747127211,"target",1
"actually","reliable",3110,130,9,96,0.183784997290715,"target",1
"actually","reliable",3110,132,9,101,-0.0826259843420246,"competitor",0
"actually","reliable",3110,135,10,109,0.0771241512705842,"target",1
"actually","reliable",3110,137,3,28,0.0573636755063747,"target",1
"actually","reliable",3110,139,9,95,-0.0674713178539177,"competitor",0
"actually","reliable",3110,141,1,1,0.00771255559532053,"target",1
"actually","reliable",3110,142,1,2,-0.00849089709114462,"competitor",0
"actually","reliable",3110,145,10,114,-0.0868887341179782,"competitor",0
"actually","reliable",3110,148,7,77,0.0407238756091937,"target",1
"actually","reliable",3110,149,8,91,-0.211813011193205,"competitor",0
"actually","reliable",3110,152,6,66,-0.192247543243972,"competitor",0
"actually","reliable",3110,153,3,32,-0.0131877078318001,"competitor",0
"actually","reliable",3110,156,10,115,0.0346450742831785,"target",1
"actually","reliable",3110,159,4,36,-0.06326022125535,"competitor",0
"actually","reliable",3117,103,5,57,0.0924760740891978,"target",1
"actually","reliable",3117,106,4,38,0.0467678073765022,"target",1
